Name,Description,Time
STREAM Series,"Explore the fundamentals of STREAM (Science, Technology, Responsibility, Art, and Math) with new activities each week!",2025-03-24 23:03:21.000000
Youth Tech Club,"Welcome to Youth Tech Club! Explore new technology with us every Thursday at 4 PM including 3D Printing pens, Osmo Genius Kits, Google Chromebooks, and so much more!

This program is for ages 9 and up. Space is limited to 10 participants. Advanced registration is not required.",2025-03-24 10:59:25.000000
eBook Help Hour,"Want to read e-books on your iPad, Kindle, smart phone, tablet, or other e-reader? Bring your device to an E-Book Help Hour session and we'll get you started with free library e-books, digital magazines, video streaming, music, and more!

Learn more about library e-books at: nypl.org/ebook

E-Book Help Hour takes place in computer lab.

 Registration: NO REGISTRATION REQUIRED",2025-03-24 21:50:15.000000
Spring BINGO for Kids,"This program takes place in person at the Mariners Harbor Library.

Is there anything better than some friendly competition amongst friends? Maybe Spring BINGO! Join us, play against your friends, and win some cool prizes. 

First come, first served. For children ages 7-12.",2025-03-24 15:26:44.000000
Mother's Day Art Studio: Crafty Flowers!,"This event is in person at the Bronx Library Center.

Come join our safe and friendly space where chidren will be creative with a variety of arts and crafts projects every thursday! This thursday we will be making our very own special mother's day crafty flowers for your special person. Join us!  

Ages 5-12",2025-03-24 19:26:10.000000
3D Design,"Join us in person at the Woodstock Library to have open studio time in Tinkercad, a free 3D Design Software.  Create your own design from scratch, or remix an existing design, then print it out! We have white, red, blue, or black filament to bring your design to life with our new 3D Printer!

Note that most designs will take longer than the program time to print, and will have to be picked up at least a day after the program.",2025-03-24 18:19:39.000000
Family Game Hour,"This event will take place in person at the Richmondtown Branch Library.

Choose a board game or puzzle from our collection & get your game on! Fun for the whole family.",2025-03-24 20:45:35.000000
Craft Time,"This event will take place in person at the Yorkville library.  Drop in for a quick craft.  Bring your creativity and make something special to take home.

 

Space is limited to 10 children with their caregivers.",2025-03-24 19:34:31.000000
NYPL After School,"NYPL After School is a free drop-in program for kids ages 6–12 that takes place after regular school hours on Mondays through Thursdays. Join our tutors and Teen Reading Ambassadors for homework help, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-24 15:16:34.000000
NYPL After School,"NYPL After School is a free drop-in program for kids ages 6–12 that takes place after regular school hours on Mondays through Thursdays. Join our tutors and Teen Reading Ambassadors for homework help, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-24 12:06:52.000000
Rangoli Design,"Please join us in person at the Dongan Hills Library as we design our own Rangoli.  This is a design from India that is meant to bring good luck.  We provide the materials and you provide the creativity!  With the different sand designs, it is sure to be fun for all!  This program is best for ages 10-14.  First come, first served due to limited supplies.",2025-03-24 22:14:50.000000
Teen Mother's Day Craft-Pressed Flower Bookmarks,Do you know a mother who loves to read? Come create pressed flower bookmarks for a great Mother's day craft! Fresh flowers will be picked and lots of crafts will be provided!,2025-03-24 16:46:48.000000
One-On-One Tech Help,"This event will take place in person.  If you have a tech problem, question or would just like individualized tech tutorials, this is your time to work with a staff member and receive their personal attention and instructions.",2025-03-24 23:42:57.000000
One-on-One Computer Assistance,"This event will take place in-person at the Stavros Niarchos Foundation Library, 4th floor, room 403.

Work with a Stavros Niarchos Foundation Library staff member to complete a personal project on the computer. If you have a tech problem, question, or would just like some individualized tutorials, this is your time to work with a librarian and receive personal attention and instruction. 

Assistance can include:


	Internet browsing
	Email 
	Typing software
	eBooks and Audiobooks
	Library Catal…",2025-03-24 19:21:50.000000
The Art Studio,"This event is in person at the Bronx Library Center.

Come join our safe and friendly space where chidren will be creative with a variety of arts and crafts projects every thursday! Join us! 

Ages 6-12",2025-03-25 01:46:26.000000
Teen Video Games,"This event will take place in person at the Clason's Point Library. Join us to play Nintendo Switch games! Snacks will be provided.  

For tweens and teens ages 12-18.",2025-03-24 15:41:00.000000
Mystery Book Club,"Do you like Mystery books and pizza? Join us the Morris Park Library, to watch book trailers,  talk about the popular Mystery Series that are staff picked for this month and  hear recommendations from other teens. All this while enjoying some pizza!

This month we will be discussing: A Good Girls Guide to Murdery by Holly Jackson. 



THE MUST-READ MULTIMILLION BESTSELLING MYSTERY SERIES• Everyone is talking about A Good Girl's Guide to Murder! With shades of Serial and Making a Murderer this is…",2025-03-25 03:01:02.000000
STREAM Series,"Explore the fundamentals of STREAM (Science, Technology, Responsibility, Art, and Math) with new activities each week!",2025-03-24 14:13:54.000000
Youth Tech Club,"Welcome to Youth Tech Club! Explore new technology with us every Thursday at 4 PM including 3D Printing pens, Osmo Genius Kits, Google Chromebooks, and so much more!

This program is for ages 9 and up. Space is limited to 10 participants. Advanced registration is not required.",2025-03-25 01:12:18.000000
eBook Help Hour,"Want to read e-books on your iPad, Kindle, smart phone, tablet, or other e-reader? Bring your device to an E-Book Help Hour session and we'll get you started with free library e-books, digital magazines, video streaming, music, and more!

Learn more about library e-books at: nypl.org/ebook

E-Book Help Hour takes place in computer lab.

 Registration: NO REGISTRATION REQUIRED",2025-03-24 18:52:24.000000
Spring BINGO for Kids,"This program takes place in person at the Mariners Harbor Library.

Is there anything better than some friendly competition amongst friends? Maybe Spring BINGO! Join us, play against your friends, and win some cool prizes. 

First come, first served. For children ages 7-12.",2025-03-24 20:59:43.000000
Mother's Day Art Studio: Crafty Flowers!,"This event is in person at the Bronx Library Center.

Come join our safe and friendly space where chidren will be creative with a variety of arts and crafts projects every thursday! This thursday we will be making our very own special mother's day crafty flowers for your special person. Join us!  

Ages 5-12",2025-03-24 21:41:04.000000
3D Design,"Join us in person at the Woodstock Library to have open studio time in Tinkercad, a free 3D Design Software.  Create your own design from scratch, or remix an existing design, then print it out! We have white, red, blue, or black filament to bring your design to life with our new 3D Printer!

Note that most designs will take longer than the program time to print, and will have to be picked up at least a day after the program.",2025-03-24 20:38:53.000000
Family Game Hour,"This event will take place in person at the Richmondtown Branch Library.

Choose a board game or puzzle from our collection & get your game on! Fun for the whole family.",2025-03-24 11:54:22.000000
St. George's Children Book Hour,"This event will take place in-person at St. George Library Center.

Let's read together, talk about our favorite parts, and make our own stories! Perfect for kids who need to be encouraged to read.",2025-03-24 23:27:38.000000
Mother’s Day BINGO,This program takes place in-person at the West New Brighton Library. Join us in celebrating Mother’s Day with a fun BINGO game! No registration required. For ages 6-12.,2025-03-24 12:05:23.000000
Stay Calm & Color + Mother's Day Cards,"This event will take place in person at Wakefield Library. Coloring is a great sitting still activity that encourages kids to slow down and focus on one specific task. It's also important in early childhood education by helping develop hand strength, practice pencil grip, stimulates creativity, encourages self expression, improves fine motor coordination and encourages patience and relaxation. All supplies will be provided by us. No need to Register-just show up!

 

Thursday, May 11th at 4pm: M…",2025-03-25 01:04:25.000000
Craft Time,"This event will take place in person at the Yorkville library.  Drop in for a quick craft.  Bring your creativity and make something special to take home.

 

Space is limited to 10 children with their caregivers.",2025-03-24 20:29:36.000000
Teen Bubble Tea Party and Craft Hour,This program is in-person only. Join us at the Riverside Library as we talk about the origins of bubble tea and make some to drink. We will also have some paper crafts.,2025-03-24 23:28:43.000000
Bronx Week: Game Day at Mosholu Library!,"""This event will take place in person at the Mosholu Library.""


We will be celebrating the History of the Bronx! Together, we learn the rich history of  the Bronx. Learn about the history of New York street games. 

Do you have the ""coolest"" gaming moves?  Are  you the best of the best? Show off your skills and challenge your friends in gaming matches in the library.",2025-03-25 00:03:25.000000
Learning Through the Senses (Registration Required),"This program will take place in person at Charleston Library.

The best way to learn is by learning through your 5 senses! Join us for an hour of sensory play where kids can explore language, math, science, and more through the senses of sight, hearing, taste, touch, and smell! Best for children ages 2-6.

Advanced registration is required for this program and walk-ins may be turned away. Please stop by or call (929)284-3660 to register during our open hours.

Registration for May begins Monday,…",2025-03-25 04:19:26.000000
Board Game Bonanza,"""This event will take place in person at the Hamilton Grange Branch Library.""


Are you a board game champion?   Show off your best moves against other board games fans! From ""Apples to Apples"" to ""Would you rather?""  Whether you're a board gaming expert or just starting out, come and join us for some board time!  Be prepare to have fun with plenty of laughter!",2025-03-25 05:40:30.000000
In Person English Conversation Hour,"In Person English Conversation Hour (ECH), is an open conversation where English language learners can discuss life, art, music, films, food, culture, current events, and other topics of interest. 

Participation takes place in small group settings. This is not a formal class, but a fun and informal discussion, the only requirement is you are ready to have a conversation!

Spring 2023 DATES:

Tuesdays and Thursdays, 10:15 AM - 11:30 AM

Tuesdays and Thursdays, 4:15-5:30 PM

May: 2, 4, 9, 11, 16,…",2025-03-24 18:54:19.000000
Pop Mother's day Cards,"Why run to the store to buy a Mother's Day card when you can make your very own pop Mother's Day Card at the Library!!

This is an in-person program for Tweens and Teens (10-17)

No Registration Required/ First Come-First Served",2025-03-24 10:49:47.000000
Diamond Painting Social: Spring Edition,"This event will take place in-person at the South Beach Library.

In case you haven’t come across it, diamond painting is one of the fastest trending crafts out there!

This relatively new art form breaks images down into patterns. Combining the concepts of mosaic art and paint-by-numbers, diamond painting uses tiny round rhinestones on adhesive to create a glittering, multi-dimensional picture.

If you enjoy detail work and bling, this craft is perfect for you!

This will be an ongoing social p…",2025-03-24 13:32:52.000000
*In-Person: HTML & CSS Basics,This class covers the basics of using HTML to create a simple web page.,2025-03-24 19:42:41.000000
Jalapeño Social Hour: A Spanish Conversation Group - Hybrid,"This is a hybrid program, online and in person 

In person at:  The Stavros Niarchos Foundation Library (455 Fifth Avenue, NYC 10016)

Online:  via Google Meet

IF ATTENDING ONLINE YOU MUST REGISTER TO RECEIVE THE LINK TO PARTICIPATE

IF ATTENDING IN PERSON NO REGISTRATION IS REQUIRED. FIRST COME, FIRST SERVED. 

¡Hola! ¿Te gusta hablar español? Want to practice your Spanish? Join the staff of the New York Public Library and other fellow Spanish speakers for an hour of Spanish conversation.

Thi…",2025-03-24 21:14:39.000000
One-on-One Computer Assistance,"This event will take place in-person at the Stavros Niarchos Foundation Library, 4th floor, room 403.

Work with a Stavros Niarchos Foundation Library staff member to complete a personal project on the computer. If you have a tech problem, question, or would just like some individualized tutorials, this is your time to work with a librarian and receive personal attention and instruction. 

Assistance can include:


	Internet browsing
	Email 
	Typing software
	eBooks and Audiobooks
	Library Catal…",2025-03-24 22:24:55.000000
Kids STEAM: Lego Fun and Learning,"Join staff from the Riverdale Branch for an exciting Lego hands-on program.  Each week is different as we learn about different sciences, building, and community aspects.  One week we may discuss the physics of race cars and skyscrapers, or we may recreate our community in miniature.",2025-03-24 19:33:09.000000
Game Day!,"This event will take place in person at South Beach Library. 

Drop by the Library anytime between 3- 4:30 PM  to play Nintendo Switch or PlayStation 4 videogames with a librarian! Ages 6- 18.",2025-03-25 03:24:30.000000
Teen Gaming,Enjoy an afternoon of gaming. Play against friends on our Nintendo Switch.,2025-03-24 14:24:16.000000
Coloring Club,"This event will take place in person at Baychester on Fridays. Kids will select from a prompt and color according to the prompt, or simply get creative and color freely. All materials will be provided. 


	Sign up for the NYPL Kids e-newsletter to get information on upcoming author talks and events happening at the Library and online. Get updates on online programming, at-home activities, and more in your inbox!",2025-03-24 18:04:35.000000
Craft Corner,"Join us for a fun hour of arts and crafts! New project every week.  For the month of May we will hold a special vote for one week only! This vote will determine what craft the children will do on May 19th. Joinus for special caregivers crafts and to discover what the mystery craft night be!

May

12 - Caregiver Crafts

19 - Mystery Vote

26 - Paper Weaving",2025-03-24 23:40:20.000000
Dungeons and Dragons at Riverside Library,"Greetings adventurers - Join us in person at Riverside Library for a Dungeons and Dragons game!  

D&D is a game about adventure, mystery and drama in a fantasy based world! Meet new friends and have fun rolling dice, fighting monsters, and saving the realm!

New to D&D? Here are some resources!


	What is D&D?
	Start Playing
	The Structure of the Game
	Rules Overview
	The Basics
	Create Your Character: Races
	Create Your Character: Classes
	Character Sheets
	Roll20



	Limited to th…",2025-03-24 10:35:00.000000
Teen Unwind: Unplug & Relax - Bronx Week,"Relax in analog - with board games, books, word puzzles, coloring pages, and anything else without a screen. Celebrate Bronx Week by helping to decorate a mural to be displayed in the City Island Library!",2025-03-25 01:36:53.000000
Family Ceramic Painting,"This program will take place in person at Charleston Library.

Bring your creativity and paint a ceramic planter to gift a loved one or friend. For children and their caregivers! 

Adults must be present with child.

Registration is not required for this program, however space is limited.

We are located in the Bricktown Commons at 225 Bricktown Way and can be reached at (929)284-3660 during our open hours.",2025-03-24 20:37:00.000000
Game On!,"This event will take place in person at St. George Library in Children's Room.

Get ready to play with our Nintendo Switch. Play board and table games with your friends and family! Be creative with our Lego pieces!

For School-age children.  No registration required.",2025-03-24 22:31:51.000000
Game On!,"This program will take place in person at West Farms Library.

Board games, card games, maybe even Nintendo Switch. Try something new, play an old classic, or make your own. Whatever you feel like playing, we've got you covered!",2025-03-24 20:32:11.000000
Bronx Week: Tween Art,"Celebrate Bronx Week: Create a mixture of art that shows your love for The Bronx! Choose from a variety of art supplies to make your own unique masterpiece and highlight what you love about The Bronx.

All materials provided.",2025-03-24 14:42:09.000000
Balloon Bending Bonanza!,"This event is in person

Introduction to Basic Balloon Bending: A class for the beginner. How do I blow these things up? How do I tie them?

Now what? All this will be answered and more in this fun and interactive class. Balloons and pumps will be provided.

Join us as we create works of balloon artistry together in this class!",2025-03-25 02:39:47.000000
Personalized Composition Book,This event will take place in person at the Morrisania Library. Join the young adult staff to make personalized composition books using magazine pictures. All supplies will be given.,2025-03-24 15:22:55.000000
Fun Fridays!,"This event will take place in person at Stapleton Library. 

Come celebrate Fridays with Nintendo Switch video games,  coloring and more! Ages 5 - 12.

*Masks are required in the library for adults and children over 24 months.*",2025-03-25 02:50:02.000000
Game Day,"This event will take place in person at Jerome Park Library. 

Join us for an hour of fun and games. Challenge your friends to a game on our Nintendo Switch, Jenga or Connect Four.",2025-03-24 18:53:48.000000
Teen Lego Masters,"This event will take place in person at the Charleston Library.

Do you have what it takes to be the master of the bricks? Come prove it! See what wonders you can build in under an hour. Winners get to claim a prize and have their work displayed at the Charleston Circulation desk!!!

For ages 10-17/Grades 6-12",2025-03-24 17:35:14.000000
Fun Fridays!,"This program will take place in person at the Belmont Library.

Come celebrate Fridays with board games, LEGOS, arts and crafts and more!",2025-03-24 12:56:59.000000
Kid's Crafts! Learning Origami,"Origami, also known as paper folding is a traditional art form from Japan that uses paper to create two and three demensional art. Learn how to make a unique and creative Mother's Day Card",2025-03-24 20:16:33.000000
Anime Club,"This Event is In-Person.

Guess what's happening at Bloomingdale Library's Teen Center? Anime Club! Come join us for snacks, movies, and discussions about anime and manga! 

This program is for Teens in 7th - 12th Grades.

Masks are encouraged at all NYPL locations. Learn more about our health and safety policies.

Discover what the Library offers NYC teens, including TeenLIVE events, programs, book recommendations and more",2025-03-24 23:56:20.000000
Kids Rock Painting,This event will take place in the New Dorp Library. Join us for a fun afternoon of rock painting. For ages 5 & up with parent/caregiver. All supplies provided by NYPL.,2025-03-25 01:10:33.000000
Retro Gaming,"Step back in time with retro gaming! Our program offers a chance to relive the glory days of gaming with classic video games. Whether you're a seasoned gamer or just starting out, our program provides a fun and nostalgic experience for all. Join the staff in finding your competitive spirit with in some fun video games, compete with us in a couple of rounds of classic games such NBA Jam. Contra, Streets of Rage, Altered Beast and many more.

Tweens and Teens are welcome.

IN-Person Program.",2025-03-25 01:45:33.000000
Friday Crafternoon,"Do you enjoy arts and crafts?  Want to make something with fellow enthusiasts?  Then join us Friday afternoons at 4:00 p.m. as we practice a variety of skills with some fun papercrafts to get your creative juices flowing. 

Best for ages 4-12 and caregivers. Advanced online registration is recommended.",2025-03-25 01:51:34.000000
Paint & Sip,Join us for painting some beautiful pieces of artwork and sipping some yummy juice in the programming room!,2025-03-24 09:44:34.000000
ART & Science Hour,"All aboard for ART & Science Hour at the library, focusing on nature in May! Enjoy  art  activities every Friday!

*Space and supplies are limited. First come, first served!",2025-03-24 22:10:24.000000
Aprann Kreyòl: Haitian Creole Conversation Hour,"This event is in-person at Stavros Niarchos Foundation Library (SNFL), Room 304, Floor 3. 

This is a space for people who would like to learn or practice the Haitian Creole language. It’s a beginner level course but all levels are welcome. Join us in person on Fridays 4:30 - 5:30 PM in room 304

Spring 2023 Aprann Kreyòl Schedule

April 14, 21, 28

May 5, 12, 19

June 9, 16, 23

 

On April 4, 2023, Mayor Adams proposed yet another devastating round of cuts to all city agencies—including public…",2025-03-24 18:38:47.000000
Soundview Knitting Circle,"This event will take place in person at Soundview Library.

 

Join us for our knitting circle where you can work with other crafters like yourself. Start a new project or bring a current one. Share tips, ideas, and projects as well. 

(Yarn will be provided. Please bring your own knitting needles.)",2025-03-24 22:41:42.000000
Riverside Knitting and Crocheting Circle,Join us for the Riverside knitting and crocheting circle every Saturday from 10am  to 12pm. Please bring your own materials and get ready to have some crafty good times!,2025-03-24 20:56:22.000000
LEGO Table Time,Play at our LEGO table Wednesday-Saturday from 10:00am-1:00pm in our early literacy corner! For Children ages 0-5 and their caregivers.,2025-03-25 04:02:50.000000
Family Board Games and Building Blocks,"Family Board Games and Building Blocks 

Join us in the children's room on select Saturdays from 10am-2pm for an assortment of fun family friendly activities, such as a selection of board games and assorted building blocks, including LEGO bricks, for all ages. There is something for everyone! 

For kids of all ages and their caregivers! 

This program will take place in our 2nd floor children's room. 

Please note this is a passive program.",2025-03-25 02:46:03.000000
Crocheting/Knitting Circle at Sedgwick,Join us for a relaxing morning of Crotcheting and Knitting.  Supplies are available,2025-03-25 01:36:04.000000
Get Your Game On! Mahjong Open Play,"Gather in our community room with your friends and other players for a game of Mah Jongg! We'll provide the tables and chairs. You bring in your own boards, cards, tiles, or game. A great way to meet new people, stimulate your brain and hone your skills in this fun social envioronment. 


  


This location is wheelchair accessible. Assisted listening devices can be provided upon request with a minimum of one week advanced notice. ASL interpretation can be provided upon request with a minimum of…",2025-03-24 21:53:55.000000
Movies @ Kips Bay Library Presents Book to Movie Adaptations Film: The Glass Castle,"Synopsis 

A young woman reflects on her unconventional upbringing at the hands of her artsy, nonconformist parents. Now married to a man who works in finance in New York, she faces criticism from her parents that she's betrayed their values. Based on the memoir of the same name by Jeannette Walls.

DirectorsDestin Daniel Cretton, Production Year: 2017, Rating: PG-13, Studio: Lions Gate Films, Inc., Runtime: 127 minutes

 

Cast

Brie Larson, Woody Harrelson, Naomi Watts, Sarah Snook, Max Greenf…",2025-03-24 22:37:52.000000
Creative Writing Workshop: Creative Non-Fiction,"Interested to learn more about non-fiction writing? This is a great opportunity to practice writing, share with others, and learn some tips and tricks along the way. No experience necessary! This is a hybrid program (you can attend either in-person or online). If attending online, you must register with your email address in order to receive the link to participate. The link will be sent to you by email approximately one day before the discussion. You will need a device with audio and/or video a…",2025-03-24 16:54:13.000000
Mahjong  Canasta and More,"Bring your Mahjong and Canasta sets if you want to start up a game here at Huguenot. We  will have an assortment of games avaliable for you to play if you don't have a set or prefer a different game. Chess, Checkers, Backgammon, Dominos,  Scrabble, and playing cards.",2025-03-24 22:41:55.000000
Friday Crafternoon,"This event will take place in person at Stavros Niarchos Foundation Library, Room 304, Floor 3

Join us for two hours of freeform crafting and conversation. Bring your own project or choose something from our collection to work on. We have materials for sewing, knitting, crochet, coloring, paper crafts, and puzzles, too.

All programs are subject to change or cancellation. As of March 14, 2022 The New York Public Library no longer mandates proof of vaccination at large-scale public events. Patro…",2025-03-24 17:40:07.000000
Coloring Club,"Come join our Coloring Club and have a relaxing, fun and stress relieving time.

Use our art supplies or bring your own. 

This is an in-person event and no registrarion is required.",2025-03-24 23:05:00.000000
Film Friday: A Raisin in the Sun,"This event will take place in person at the Morningside Heights Library.

Come and join us to watch a film, A Raisin in the Sun on Friday, May 12th at 2 PM.

The movie will be screened in the Community Room. 



Director: Daniel Petrie

Runtime: 127 minutes

Synopsis:

A black family living in a cramped Chicago tenement in the 1940s have the opportunity to improve their social standing via an insurance-policy check but are in disagreement about how best to spend the windfall. Lorraine Hansberry…",2025-03-24 11:54:46.000000
Brain Games: Chess,Do you know a little or alot about chess? This is your chance to sharpen your skills. Players will compete against patrons in either casual or competive games.  No Registration Required.,2025-03-24 10:36:06.000000
Accessing ebooks,"This program is online only.

Are you interested in using ebooks or eaudiobooks but need some help?

Have you been using ebooks for a while but want to learn more?

Come get help at this open hour - bring your questions!",2025-03-24 15:20:41.000000
Fun Film Fridays,This event will take place in person at Throgs Neck Library.. Come kick back and enjoy a family-friendly movie with the Throgs Neck branch Children's Library staff! Film ratings range from G-PG. Children must be accompanied by a caregiver in order to participate.,2025-03-25 03:16:53.000000
Afternoon Family Movie,Friday afternoon is family movie funday! Enjoy a relaxing afternoon and the end of the school week with a new movie every Friday afternoon.  No registration required.,2025-03-24 22:43:18.000000
Imaginative Time,"Join us at Woodlawn Heights as we bring out the games.  Grab a board game and play with your friends or family! Or perhaps you want to build with legos? Toddlers are also welcomed to come play dress up.  No registration required. 

**** First come, first serve

****For children, 18 months to 12 years.",2025-03-24 20:52:32.000000
Kid's Lounge,"Come in and socialize with your friends, listen to music, read a book or work on a project/homework! Board games and craft materials will also be available.",2025-03-24 21:34:10.000000
Kids STEAM: Lego Fun and Learning,"Join staff from the Riverdale Branch for an exciting Lego hands-on program.  Each week is different as we learn about different sciences, building, and community aspects.  One week we may discuss the physics of race cars and skyscrapers, or we may recreate our community in miniature.",2025-03-25 04:51:39.000000
Game Day!,"This event will take place in person at South Beach Library. 

Drop by the Library anytime between 3- 4:30 PM  to play Nintendo Switch or PlayStation 4 videogames with a librarian! Ages 6- 18.",2025-03-24 14:14:20.000000
Teen Gaming,Enjoy an afternoon of gaming. Play against friends on our Nintendo Switch.,2025-03-24 22:26:26.000000
Coloring Club,"This event will take place in person at Baychester on Fridays. Kids will select from a prompt and color according to the prompt, or simply get creative and color freely. All materials will be provided. 


	Sign up for the NYPL Kids e-newsletter to get information on upcoming author talks and events happening at the Library and online. Get updates on online programming, at-home activities, and more in your inbox!",2025-03-24 21:00:40.000000
Craft Corner,"Join us for a fun hour of arts and crafts! New project every week.  For the month of May we will hold a special vote for one week only! This vote will determine what craft the children will do on May 19th. Joinus for special caregivers crafts and to discover what the mystery craft night be!

May

12 - Caregiver Crafts

19 - Mystery Vote

26 - Paper Weaving",2025-03-24 22:23:06.000000
Dungeons and Dragons at Riverside Library,"Greetings adventurers - Join us in person at Riverside Library for a Dungeons and Dragons game!  

D&D is a game about adventure, mystery and drama in a fantasy based world! Meet new friends and have fun rolling dice, fighting monsters, and saving the realm!

New to D&D? Here are some resources!


	What is D&D?
	Start Playing
	The Structure of the Game
	Rules Overview
	The Basics
	Create Your Character: Races
	Create Your Character: Classes
	Character Sheets
	Roll20



	Limited to th…",2025-03-24 19:54:44.000000
Teen Unwind: Unplug & Relax - Bronx Week,"Relax in analog - with board games, books, word puzzles, coloring pages, and anything else without a screen. Celebrate Bronx Week by helping to decorate a mural to be displayed in the City Island Library!",2025-03-24 13:29:55.000000
Family Ceramic Painting,"This program will take place in person at Charleston Library.

Bring your creativity and paint a ceramic planter to gift a loved one or friend. For children and their caregivers! 

Adults must be present with child.

Registration is not required for this program, however space is limited.

We are located in the Bricktown Commons at 225 Bricktown Way and can be reached at (929)284-3660 during our open hours.",2025-03-24 18:01:06.000000
Game On!,"This event will take place in person at St. George Library in Children's Room.

Get ready to play with our Nintendo Switch. Play board and table games with your friends and family! Be creative with our Lego pieces!

For School-age children.  No registration required.",2025-03-24 22:15:26.000000
Game On!,"This program will take place in person at West Farms Library.

Board games, card games, maybe even Nintendo Switch. Try something new, play an old classic, or make your own. Whatever you feel like playing, we've got you covered!",2025-03-25 01:00:21.000000
Bronx Week: Tween Art,"Celebrate Bronx Week: Create a mixture of art that shows your love for The Bronx! Choose from a variety of art supplies to make your own unique masterpiece and highlight what you love about The Bronx.

All materials provided.",2025-03-24 16:36:08.000000
Balloon Bending Bonanza!,"This event is in person

Introduction to Basic Balloon Bending: A class for the beginner. How do I blow these things up? How do I tie them?

Now what? All this will be answered and more in this fun and interactive class. Balloons and pumps will be provided.

Join us as we create works of balloon artistry together in this class!",2025-03-25 02:20:22.000000
The Virtually Open Mic Coffeehouse,"This event is online only. Whether you're a beginning or seasoned performer, sign up for our Open Mic and share your spoken word, music, or act with other participants at our friendly online venue (5 minutes maximum). Registration needed. Adults age 18+",2025-03-24 18:05:26.000000
Personalized Composition Book,This event will take place in person at the Morrisania Library. Join the young adult staff to make personalized composition books using magazine pictures. All supplies will be given.,2025-03-24 21:04:57.000000
Fun Fridays!,"This event will take place in person at Stapleton Library. 

Come celebrate Fridays with Nintendo Switch video games,  coloring and more! Ages 5 - 12.

*Masks are required in the library for adults and children over 24 months.*",2025-03-24 14:59:57.000000
Game Day,"This event will take place in person at Jerome Park Library. 

Join us for an hour of fun and games. Challenge your friends to a game on our Nintendo Switch, Jenga or Connect Four.",2025-03-25 03:18:13.000000
Art Workshops: Intro to Printmaking with the Guggenheim Museum,"Explore your artistic potential with Creative Aging, a series of art workshops for adults 50 and older.
	 


  


This program series will be held in person at Battery Park City Library. Join us for Intro to Printmaking with the Guggenheim Museum. Teaching artist Stina Puotinen will guide participants through printmaking over five sessions.

This series of art-making workshops led by artist and educator Stina Puotinen is designed to connect participants with their creativity while engaging with…",2025-03-25 00:36:25.000000
Anime Club,"This Event is In-Person.

Guess what's happening at Bloomingdale Library's Teen Center? Anime Club! Come join us for snacks, movies, and discussions about anime and manga! 

This program is for Teens in 7th - 12th Grades.

Masks are encouraged at all NYPL locations. Learn more about our health and safety policies.

Discover what the Library offers NYC teens, including TeenLIVE events, programs, book recommendations and more",2025-03-24 17:10:18.000000
Fun Fridays!,"This program will take place in person at the Belmont Library.

Come celebrate Fridays with board games, LEGOS, arts and crafts and more!",2025-03-24 17:45:07.000000
Retro Gaming,"Step back in time with retro gaming! Our program offers a chance to relive the glory days of gaming with classic video games. Whether you're a seasoned gamer or just starting out, our program provides a fun and nostalgic experience for all. Join the staff in finding your competitive spirit with in some fun video games, compete with us in a couple of rounds of classic games such NBA Jam. Contra, Streets of Rage, Altered Beast and many more.

Tweens and Teens are welcome.

IN-Person Program.",2025-03-24 21:07:32.000000
Kids Rock Painting,This event will take place in the New Dorp Library. Join us for a fun afternoon of rock painting. For ages 5 & up with parent/caregiver. All supplies provided by NYPL.,2025-03-24 17:30:47.000000
Kid's Crafts! Learning Origami,"Origami, also known as paper folding is a traditional art form from Japan that uses paper to create two and three demensional art. Learn how to make a unique and creative Mother's Day Card",2025-03-24 20:37:27.000000
Friday Crafternoon,"Do you enjoy arts and crafts?  Want to make something with fellow enthusiasts?  Then join us Friday afternoons at 4:00 p.m. as we practice a variety of skills with some fun papercrafts to get your creative juices flowing. 

Best for ages 4-12 and caregivers. Advanced online registration is recommended.",2025-03-24 18:56:54.000000
Paint & Sip,Join us for painting some beautiful pieces of artwork and sipping some yummy juice in the programming room!,2025-03-25 03:14:15.000000
ART & Science Hour,"All aboard for ART & Science Hour at the library, focusing on nature in May! Enjoy  art  activities every Friday!

*Space and supplies are limited. First come, first served!",2025-03-25 03:18:00.000000
Aprann Kreyòl: Haitian Creole Conversation Hour,"This event is in-person at Stavros Niarchos Foundation Library (SNFL), Room 304, Floor 3. 

This is a space for people who would like to learn or practice the Haitian Creole language. It’s a beginner level course but all levels are welcome. Join us in person on Fridays 4:30 - 5:30 PM in room 304

Spring 2023 Aprann Kreyòl Schedule

April 14, 21, 28

May 5, 12, 19

June 9, 16, 23

 

On April 4, 2023, Mayor Adams proposed yet another devastating round of cuts to all city agencies—including public…",2025-03-25 04:02:56.000000
Soundview Knitting Circle,"This event will take place in person at Soundview Library.

 

Join us for our knitting circle where you can work with other crafters like yourself. Start a new project or bring a current one. Share tips, ideas, and projects as well. 

(Yarn will be provided. Please bring your own knitting needles.)",2025-03-24 17:02:52.000000
Riverside Knitting and Crocheting Circle,Join us for the Riverside knitting and crocheting circle every Saturday from 10am  to 12pm. Please bring your own materials and get ready to have some crafty good times!,2025-03-24 20:20:40.000000
